Name	Class
000096	[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
000097	[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
000098	[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
000099	[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
000100	[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
000101	[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
000102	[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]
000103	[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
000104	[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
000105	[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
000106	[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
000107	[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
000108	[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]
000109	[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
000110	[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
000111	[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]
000112	[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
000113	[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
000114	[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
000115	[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
000116	[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
000117	[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
000118	[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
000119	[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
000120	[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
000121	[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
000122	[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
000123	[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
000124	[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
000125	[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
000126	[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
000127	[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
000128	[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]
000129	[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
000130	[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
000131	[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
000132	[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
000133	[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
000134	[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
000135	[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
000136	[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
000137	[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
000138	[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
000139	[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
000140	[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
000141	[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
000142	[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
000143	[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
000144	[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]
000145	[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
000146	[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
000147	[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
000148	[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]
000149	[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
000150	[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
000151	[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
000152	[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
000153	[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
000154	[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
000155	[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
000156	[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
000157	[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
000158	[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
000159	[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
000160	[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]
000161	[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
000162	[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
000163	[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]
000164	[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]
000165	[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]
000166	[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
000167	[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
000168	[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
000169	[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]
000170	[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
000171	[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
000172	[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
000173	[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
000174	[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
000175	[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
000176	[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
000177	[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
000178	[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
000179	[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
000180	[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
000181	[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
000182	[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
000183	[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
000184	[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]
000185	[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
000186	[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]
000187	[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
000188	[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
000189	[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
000190	[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]
000191	[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
000192	[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
000193	[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
000194	[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]
000195	[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
000196	[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
000197	[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
000198	[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
000199	[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
000200	[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
000201	[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
000202	[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
000203	[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
000204	[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
000205	[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
000206	[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
000207	[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
000208	[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
000209	[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
000210	[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
000211	[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
000212	[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]
000213	[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]
000214	[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
000215	[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
000216	[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]
000217	[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
000218	[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
000219	[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
000220	[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
000221	[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
000222	[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
000223	[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
000224	[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
000225	[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
000226	[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
000227	[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]
000228	[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
000229	[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
000230	[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
000231	[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
000232	[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
000233	[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
000234	[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
000235	[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
000236	[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
000237	[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]
000238	[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
000239	[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
000240	[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
000241	[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
000242	[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
000243	[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
000244	[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
000245	[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
000246	[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
000247	[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
000248	[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
000249	[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]
000250	[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
000251	[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
000252	[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
000253	[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
000254	[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
000255	[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
000256	[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]
000257	[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
000258	[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
000259	[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
000260	[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
000261	[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
000262	[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]
000263	[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
000264	[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
000265	[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]
000266	[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
000267	[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
000268	[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
000269	[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
000270	[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
000271	[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
000272	[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
000273	[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
000274	[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]
000275	[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
000276	[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
000277	[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
000278	[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
000279	[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
000280	[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
000281	[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]
000282	[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]
000283	[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
000284	[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
000285	[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
000286	[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
000287	[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
000288	[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
000289	[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]
000290	[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
000291	[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
000292	[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
000293	[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]
000294	[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
000295	[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
000296	[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
000297	[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
000298	[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
000299	[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
000300	[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
000301	[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
000302	[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
000303	[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
000304	[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
000305	[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]
000306	[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
000307	[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
000308	[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
000309	[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
000310	[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
000311	[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
000312	[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
000313	[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
000314	[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
000315	[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
000316	[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
000317	[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
000318	[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
000319	[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
000320	[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
000321	[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
000322	[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
000323	[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
000324	[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
000325	[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
000326	[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
000327	[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
000328	[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
000329	[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]
000330	[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
000331	[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
000332	[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
000333	[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
000334	[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
000335	[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
000336	[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
000337	[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
000338	[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
000339	[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
000340	[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
000341	[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
000342	[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
000343	[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
000344	[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
000345	[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
000346	[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
000347	[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
000348	[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
000349	[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
000350	[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
000351	[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
000352	[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
000353	[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
000354	[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
000355	[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
000356	[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
000357	[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
000358	[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]
000359	[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
000360	[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
000361	[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
000362	[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
000363	[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
000364	[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
000365	[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
000366	[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
000367	[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
000368	[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
000369	[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
000370	[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
000371	[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
000372	[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
000373	[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
000374	[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
000375	[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
000376	[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
000377	[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]
000378	[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
000379	[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
000380	[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
000381	[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
000382	[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
000383	[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
000384	[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
000385	[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
000386	[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
000387	[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]
000388	[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
000389	[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
000390	[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
000391	[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
000392	[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]
000393	[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
000394	[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
000395	[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
000396	[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
000397	[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
000398	[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
